DATA_SET,FIELD_FAMILY,FINANCIAL_VARIANCE,RUNNING_PCT_OF_TOTAL
Beneficiary Summary,MEDREIMB_OP,10924.62,0.30679180650634685
Beneficiary Summary,MEDREIMB_IP,7004.07,0.5034843494228886
Beneficiary Summary,MEDREIMB_CAR,4458.42,0.6286884046636224
Beneficiary Summary,BENRES_IP,3231.46,0.719436224821486
Beneficiary Summary,BENRES_CAR,2466.78,0.7887098373090348
Beneficiary Summary,PPPYMT_IP,2128.46,0.848482542307149
Beneficiary Summary,PPPYMT_CAR,1996.32,0.9045444116595613
Beneficiary Summary,BENRES_OP,1907.74,0.958118723712925
Beneficiary Summary,PPPYMT_OP,1491.36,1.0
